2025-02-14 16:07:07,120 - INFO - Process 0/2 starting training
2025-02-14 16:07:18,331 - INFO - Using provided sampler, shuffle set to False
2025-02-14 16:07:18,331 - INFO - Created DataLoader with: batch_size=2, num_workers=4, shuffle=False, sampler=provided
2025-02-14 17:49:43,353 - ERROR - Error in batch 14 on GPU 0: [Rank 0]: Ranks 1 failed to pass monitoredBarrier in 1800000 ms
2025-02-14 17:49:43,488 - ERROR - Error in batch 15 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
2025-02-14 17:49:43,493 - ERROR - Error in batch 16 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
2025-02-14 17:49:43,497 - ERROR - Error in batch 17 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
2025-02-14 17:49:43,501 - ERROR - Error in batch 18 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
2025-02-14 17:49:43,504 - ERROR - Error in batch 19 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
2025-02-14 17:49:43,508 - ERROR - Error in batch 20 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
2025-02-14 17:49:43,512 - ERROR - Error in batch 21 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
2025-02-14 17:49:43,515 - ERROR - Error in batch 22 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
2025-02-14 17:49:44,234 - ERROR - Error in batch 23 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
2025-02-14 17:49:44,239 - ERROR - Error in batch 24 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
2025-02-14 17:49:44,243 - ERROR - Error in batch 25 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
2025-02-14 17:49:44,248 - ERROR - Error in batch 26 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
2025-02-14 17:49:44,311 - ERROR - Error in batch 27 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
2025-02-14 17:49:44,605 - ERROR - Error in batch 28 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
2025-02-14 17:49:44,610 - ERROR - Error in batch 29 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
